Entity,Code,Year,share_expenditure_food,consumer_expenditure,Continent
Kuwait,KWT,2021,19.33307,7942.251,
Kuwait,KWT,2015,,,Asia
Kyrgyzstan,KGZ,2015,,,Asia
Laos,LAO,2021,50.623756,1729.6198,
Laos,LAO,2015,,,Asia
Latvia,LVA,2021,19.304571,11246.937,
Latvia,LVA,2015,,,Europe
Lebanon,LBN,2021,21.0206,2864.3027,
Lebanon,LBN,2015,,,Asia
Lesotho,LSO,2015,,,Africa
Liberia,LBR,2015,,,Africa
Libya,LBY,2015,,,Africa
Liechtenstein,LIE,2015,,,Europe
Lithuania,LTU,2021,20.98476,13750.975,
Lithuania,LTU,2015,,,Europe
Luxembourg,LUX,2015,,,Europe
Macao,MAC,2015,,,Asia
Madagascar,MDG,2015,,,Africa
Malawi,MWI,2015,,,Africa
Malaysia,MYS,2021,27.486546,6319.1216,
Malaysia,MYS,2015,,,Asia
Maldives,MDV,2015,,,Asia
Mali,MLI,2015,,,Africa
Malta,MLT,2015,,,Europe
Marshall Islands,MHL,2015,,,Oceania
Martinique,MTQ,2015,,,North America
Mauritania,MRT,2015,,,Africa
Mauritius,MUS,2015,,,Africa
Mayotte,MYT,2015,,,Africa
Mecklenburg Schwerin,OWID_MEC,2015,,,Europe
Mexico,MEX,2021,26.22351,6690.246,
Mexico,MEX,2015,,,North America
Micronesia (country),FSM,2015,,,Oceania
Modena,OWID_MOD,2015,,,Europe
Moldova,MDA,2015,,,Europe
Monaco,MCO,2015,,,Europe
Mongolia,MNG,2015,,,Asia
Montenegro,MNE,2021,27.155628,7649.307,
Montenegro,MNE,2015,,,Europe
Montserrat,MSR,2015,,,North America
Morocco,MAR,2021,33.925957,2184.5288,
Morocco,MAR,2015,,,Africa
Mozambique,MOZ,2015,,,Africa
Myanmar,MMR,2021,56.626648,885.8045,
Myanmar,MMR,2015,,,Asia
Nagorno-Karabakh,OWID_NAG,2015,,,Asia
Namibia,NAM,2015,,,Africa
Nauru,NRU,2015,,,Oceania
Nepal,NPL,2015,,,Asia
Netherlands,NLD,2021,12.136645,24166.828,
Netherlands,NLD,2015,,,Europe
Netherlands Antilles,ANT,2015,,,North America
New Caledonia,NCL,2015,,,Oceania
New Zealand,NZL,2021,12.19959,28553.148,
New Zealand,NZL,2015,,,Oceania
Nicaragua,NIC,2015,,,North America
Niger,NER,2015,,,Africa
Nigeria,NGA,2021,59.012196,1268.5775,
Nigeria,NGA,2015,,,Africa
Niue,NIU,2015,,,Oceania
Norfolk Island,NFK,2015,,,Oceania
North Korea,PRK,2015,,,Asia
North Macedonia,MKD,2021,33.261982,4989.7056,
North Macedonia,MKD,2015,,,Europe
Northern Cyprus,OWID_CYN,2015,,,Asia
Northern Mariana Islands,MNP,2015,,,Oceania
Norway,NOR,2021,12.482959,32792.06,
Norway,NOR,2015,,,Europe
Oman,OMN,2021,22.59022,6483.456,
Oman,OMN,2015,,,Asia
Pakistan,PAK,2021,39.57528,970.06726,
Pakistan,PAK,2015,,,Asia
Palau,PLW,2015,,,Oceania
Palestine,PSE,2015,,,Asia
Panama,PAN,2021,15.680728,7937.2373,
Panama,PAN,2015,,,North America
Papua New Guinea,PNG,2015,,,Oceania
Paraguay,PRY,2021,30.27997,3712.2825,
Paraguay,PRY,2015,,,South America
Parma,OWID_PMA,2015,,,Europe
Peru,PER,2021,26.604895,4213.8057,
Peru,PER,2015,,,South America
Philippines,PHL,2021,38.564606,2581.689,
Philippines,PHL,2015,,,Asia
Pitcairn,PCN,2015,,,Oceania
Poland,POL,2021,17.177938,9905.59,
Poland,POL,2015,,,Europe
Portugal,PRT,2021,17.469955,15449.266,
Portugal,PRT,2015,,,Europe
Puerto Rico,PRI,2015,,,North America
Qatar,QAT,2021,12.284774,14488.974,
Qatar,QAT,2015,,,Asia
Republic of Vietnam,OWID_RVN,2015,,,Asia
Reunion,REU,2015,,,Africa
Romania,ROU,2021,25.202482,8976.611,
Romania,ROU,2015,,,Europe
Russia,RUS,2021,29.03056,6046.52,
Russia,RUS,2015,,,Europe
Rwanda,RWA,2015,,,Africa
Saint Barthélemy,BLM,2015,,,North America
Saint Helena,SHN,2015,,,Africa
Saint Kitts and Nevis,KNA,2015,,,North America
Saint Lucia,LCA,2015,,,North America
Saint Martin (French part),MAF,2015,,,North America
Saint Pierre and Miquelon,SPM,2015,,,North America
Saint Vincent and the Grenadines,VCT,2015,,,North America
Samoa,WSM,2015,,,Oceania
San Marino,SMR,2015,,,Europe
Sao Tome and Principe,STP,2015,,,Africa
Saudi Arabia,SAU,2021,20.549967,9996.364,
Saudi Arabia,SAU,2015,,,Asia
Saxony,OWID_SAX,2015,,,Europe
Senegal,SEN,2015,,,Africa
Serbia,SRB,2021,24.054436,5898.6685,
Serbia,SRB,2015,,,Europe
Serbia and Montenegro,OWID_SRM,2015,,,Europe
Serbia excluding Kosovo,OWID_SEK,2015,,,Europe
Seychelles,SYC,2015,,,Africa
Sierra Leone,SLE,2015,,,Africa
Singapore,SGP,2021,8.36342,22639.174,
Singapore,SGP,2015,,,Asia
Sint Maarten (Dutch part),SXM,2015,,,North America
Slovakia,SVK,2021,19.639393,11996.073,
Slovakia,SVK,2015,,,Europe
Slovenia,SVN,2021,14.870162,15681.224,
Slovenia,SVN,2015,,,Europe
Solomon Islands,SLB,2015,,,Oceania
Somalia,SOM,2015,,,Africa
Somaliland,OWID_SML,2015,,,Africa
South Africa,ZAF,2021,21.292362,4324.8687,
South Africa,ZAF,2015,,,Africa
South Georgia and the South Sandwich Islands,SGS,2015,,,South America
South Korea,KOR,2021,12.819726,15492.057,
South Korea,KOR,2015,,,Asia
South Ossetia,OWID_SOS,2015,,,Asia
South Sudan,SSD,2015,,,Africa
Spain,ESP,2021,13.111291,17353.86,
Spain,ESP,2015,,,Europe
Sri Lanka,LKA,2021,27.715063,2815.8762,
Sri Lanka,LKA,2015,,,Asia
Sudan,SDN,2015,,,Africa
Suriname,SUR,2015,,,South America
Svalbard and Jan Mayen,SJM,2015,,,Europe
Sweden,SWE,2021,12.654855,25825.855,
Sweden,SWE,2015,,,Europe
Switzerland,CHE,2021,9.924487,43461.773,
Switzerland,CHE,2015,,,Europe
Syria,SYR,2015,,,Asia
Taiwan,TWN,2021,13.33614,13564.453,
Taiwan,TWN,2015,,,Asia
Tajikistan,TJK,2015,,,Asia
Tanzania,TZA,2021,27.379164,656.87555,
Tanzania,TZA,2015,,,Africa
Thailand,THA,2021,28.338812,3626.5225,
Thailand,THA,2015,,,Asia
Timor,TLS,2015,,,Asia
Togo,TGO,2015,,,Africa
Tokelau,TKL,2015,,,Oceania
Tonga,TON,2015,,,Oceania
Transnistria,OWID_TRS,2015,,,Europe
Trinidad and Tobago,TTO,2015,,,North America
Tunisia,TUN,2021,24.192238,2677.411,
Tunisia,TUN,2015,,,Africa
Turkey,TUR,2021,27.256779,5425.4863,
Turkey,TUR,2015,,,Asia
Turkmenistan,TKM,2021,36.870106,840.93097,
Turkmenistan,TKM,2015,,,Asia
Turks and Caicos Islands,TCA,2015,,,North America
Tuscany,OWID_TUS,2015,,,Europe
Tuvalu,TUV,2015,,,Oceania
Two Sicilies,OWID_SIC,2015,,,Europe
USSR,OWID_USS,2015,,,Europe
Uganda,UGA,2021,44.24747,663.0901,
Uganda,UGA,2015,,,Africa
Ukraine,UKR,2021,41.641056,3103.0767,
Ukraine,UKR,2015,,,Europe
United Arab Emirates,ARE,2021,13.614112,14409.577,
United Arab Emirates,ARE,2015,,,Asia
United Kingdom,GBR,2021,8.655319,27933.74,
United Kingdom,GBR,2015,,,Europe
United Korea,OWID_KRU,2015,,,Asia
United States,USA,2021,6.689246,45898.055,
United States,USA,2015,,,North America
United States Minor Outlying Islands,UMI,2015,,,Oceania
United States Virgin Islands,VIR,2015,,,North America
Uruguay,URY,2021,18.820482,10364.276,
Uruguay,URY,2015,,,South America
Uzbekistan,UZB,2021,46.50713,1039.4144,
Uzbekistan,UZB,2015,,,Asia
Vanuatu,VUT,2015,,,Oceania
Vatican,VAT,2015,,,Europe
Venezuela,VEN,2021,18.609703,250.79521,
Venezuela,VEN,2015,,,South America
Vietnam,VNM,2021,31.196798,1805.1606,
Vietnam,VNM,2015,,,Asia
Wallis and Futuna,WLF,2015,,,Oceania
West Germany,OWID_GFR,2015,,,Europe
Western Sahara,ESH,2015,,,Africa
Wuerttemburg,OWID_WRT,2015,,,Europe
Yemen,YEM,2015,,,Asia
Yemen Arab Republic,OWID_YAR,2015,,,Asia
Yemen People's Republic,OWID_YPR,2015,,,Asia
Yugoslavia,OWID_YGS,2015,,,Europe
Zambia,ZMB,2015,,,Africa
Zanzibar,OWID_ZAN,2015,,,Africa
Zimbabwe,ZWE,2015,,,Africa
Åland Islands,ALA,2015,,,Europe
