LOCATION,Country,MEASURE,Measure,AGE,Age group,DEFINITION,Definition,METHODO,Methodology,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags,year
DNK,Denmark,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,DKK,Danish Krone,0,Units,,,247648.0,,,2019
DNK,Denmark,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,DKK,Danish Krone,0,Units,,,276116.0,,,2019
DNK,Denmark,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,DKK,Danish Krone,0,Units,,,320827.0,,,2019
DNK,Denmark,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,DKK,Danish Krone,0,Units,,,349142.0,,,2019
DNK,Denmark,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,DKK,Danish Krone,0,Units,,,250290.0,,,2019
DNK,Denmark,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,DKK,Danish Krone,0,Units,,,215923.0,,,2019
FIN,Finland,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,30936.0,,,2019
FIN,Finland,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,26092.0,,,2019
FIN,Finland,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,30835.0,,,2019
FIN,Finland,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,35353.0,,,2019
FIN,Finland,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,35998.0,,,2019
FIN,Finland,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,27616.0,,,2019
FIN,Finland,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,22868.0,,,2019
FRA,France,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,24790.0,,,2019
FRA,France,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,26130.0,,,2019
FRA,France,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,26270.0,,,2019
FRA,France,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,28430.0,,,2019
FRA,France,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,31340.0,,,2019
FRA,France,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,28460.0,,,2019
FRA,France,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,25880.0,,,2019
DEU,Germany,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,27439.0,,,2019
DEU,Germany,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,26379.0,,,2019
DEU,Germany,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,28048.0,,,2019
DEU,Germany,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,31543.0,,,2019
DEU,Germany,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,33723.0,,,2019
DEU,Germany,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,26176.0,,,2019
DEU,Germany,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,24734.0,,,2019
GRC,Greece,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,10253.0,,,2019
GRC,Greece,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,10858.0,,,2019
GRC,Greece,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,11628.0,,,2019
GRC,Greece,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,11493.0,,,2019
GRC,Greece,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,12266.0,,,2019
GRC,Greece,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,11843.0,,,2019
GRC,Greece,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,9980.0,,,2019
HUN,Hungary,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,HUF,Forint,0,Units,,,2529342.0,,,2019
HUN,Hungary,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,HUF,Forint,0,Units,,,2809982.0,,,2019
HUN,Hungary,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,HUF,Forint,0,Units,,,2661640.0,,,2019
HUN,Hungary,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,HUF,Forint,0,Units,,,2871418.0,,,2019
HUN,Hungary,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,HUF,Forint,0,Units,,,2707698.0,,,2019
HUN,Hungary,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,HUF,Forint,0,Units,,,2366579.0,,,2019
HUN,Hungary,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,HUF,Forint,0,Units,,,2261835.0,,,2019
ISL,Iceland,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2017,2017,ISK,Iceland Krona,0,Units,,,5476127.0,,,2019
ISL,Iceland,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2017,2017,ISK,Iceland Krona,0,Units,,,6379839.0,,,2019
ISL,Iceland,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2017,2017,ISK,Iceland Krona,0,Units,,,5342026.0,,,2019
ISL,Iceland,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2017,2017,ISK,Iceland Krona,0,Units,,,6248032.0,,,2019
ISL,Iceland,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2017,2017,ISK,Iceland Krona,0,Units,,,7034510.0,,,2019
ISL,Iceland,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2017,2017,ISK,Iceland Krona,0,Units,,,6203190.0,,,2019
ISL,Iceland,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2017,2017,ISK,Iceland Krona,0,Units,,,4633786.0,,,2019
IRL,Ireland,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,30956.0,,,2019
IRL,Ireland,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,37664.0,,,2019
IRL,Ireland,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,34544.0,,,2019
IRL,Ireland,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,33878.0,,,2019
IRL,Ireland,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,36854.0,,,2019
IRL,Ireland,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,30285.0,,,2019
IRL,Ireland,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,24747.0,,,2019
ITA,Italy,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,18967.0,,,2019
ITA,Italy,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,21317.0,,,2019
ITA,Italy,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,21531.0,,,2019
ITA,Italy,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,21189.0,,,2019
ITA,Italy,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,24911.0,,,2019
ITA,Italy,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,23860.0,,,2019
ITA,Italy,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,EUR,Euro,0,Units,,,19779.0,,,2019
LUX,Luxembourg,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,44053.0,,,2019
LUX,Luxembourg,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,41643.0,,,2019
LUX,Luxembourg,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,49701.0,,,2019
LUX,Luxembourg,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,51175.0,,,2019
LUX,Luxembourg,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,50783.0,,,2019
LUX,Luxembourg,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,55783.0,,,2019
LUX,Luxembourg,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,52803.0,,,2019
MEX,Mexico,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,MXN,Mexican Peso,0,Units,,,79031.0,,,2019
MEX,Mexico,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,MXN,Mexican Peso,0,Units,,,95536.0,,,2019
MEX,Mexico,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,MXN,Mexican Peso,0,Units,,,97555.0,,,2019
MEX,Mexico,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,MXN,Mexican Peso,0,Units,,,97827.0,,,2019
MEX,Mexico,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,MXN,Mexican Peso,0,Units,,,104514.0,,,2019
MEX,Mexico,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,MXN,Mexican Peso,0,Units,,,98672.0,,,2019
MEX,Mexico,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,MXN,Mexican Peso,0,Units,,,88638.0,,,2019
NLD,Netherlands,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,33200.0,P,Provisional value,2019
NLD,Netherlands,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,32800.0,P,Provisional value,2019
NLD,Netherlands,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,33300.0,P,Provisional value,2019
NLD,Netherlands,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,37200.0,P,Provisional value,2019
NLD,Netherlands,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,38400.0,P,Provisional value,2019
NLD,Netherlands,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,29300.0,P,Provisional value,2019
NLD,Netherlands,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,EUR,Euro,0,Units,,,24000.0,P,Provisional value,2019
NZL,New Zealand,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NZD,New Zealand Dollar,0,Units,,,50934.0,,,2019
NZL,New Zealand,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NZD,New Zealand Dollar,0,Units,,,57404.0,,,2019
NZL,New Zealand,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NZD,New Zealand Dollar,0,Units,,,60333.0,,,2019
NZL,New Zealand,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NZD,New Zealand Dollar,0,Units,,,63094.0,,,2019
NZL,New Zealand,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NZD,New Zealand Dollar,0,Units,,,64473.0,,,2019
NZL,New Zealand,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NZD,New Zealand Dollar,0,Units,,,49235.0,,,2019
NZL,New Zealand,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NZD,New Zealand Dollar,0,Units,,,39634.0,,,2019
NOR,Norway,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NOK,Norwegian Krone,0,Units,,,452686.0,,,2019
NOR,Norway,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NOK,Norwegian Krone,0,Units,,,399610.0,,,2019
NOR,Norway,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NOK,Norwegian Krone,0,Units,,,440776.0,,,2019
NOR,Norway,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NOK,Norwegian Krone,0,Units,,,503782.0,,,2019
NOR,Norway,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NOK,Norwegian Krone,0,Units,,,574353.0,,,2019
NOR,Norway,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NOK,Norwegian Krone,0,Units,,,466283.0,,,2019
NOR,Norway,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,NOK,Norwegian Krone,0,Units,,,366546.0,,,2019
POL,Poland,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,PLN,Zloty,0,Units,,,39713.0,,,2019
POL,Poland,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,PLN,Zloty,0,Units,,,38816.0,,,2019
POL,Poland,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,PLN,Zloty,0,Units,,,43474.0,,,2019
POL,Poland,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,PLN,Zloty,0,Units,,,41477.0,,,2019
POL,Poland,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2018,2018,PLN,Zloty,0,Units,,,39477.0,,,2019
